SDv2.2,Best Swiss-prot hit,mtDNA-inte vs not-int,mtDNA-interaction categories
TCAL_02774,"PARL Presenilins-associated rhomboid-like protein, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_09981,"PC Pyruvate carboxylase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_10366,"pcca-1 Propionyl-CoA carboxylase alpha chain, mitochondrial (Caenorhabditis elegans)",not-interacting,no-int
TCAL_11733,"PCCB Propionyl-CoA carboxylase beta chain, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_16541,"PDF Peptide deformylase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_07244,"Pdhb Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05603,"pdhk-2 Probable [pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial (Caenorhabditis elegans)",not-interacting,no-int
TCAL_00193,"Pdk [Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_03474,"Pdk [Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_06352,"PDP1 [Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_08188,"PDPR Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_10396,"PDPR Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_10425,PDSS1 Decaprenyl-diphosphate synthase subunit 1 (Homo sapiens),not-interacting,no-int
TCAL_12303,Pdss2 Decaprenyl-diphosphate synthase subunit 2 (Rattus norvegicus),not-interacting,no-int
TCAL_04880,"pgam5 Serine/threonine-protein phosphatase PGAM5, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_08925,PHB2 Prohibitin-2 (Bos taurus),not-interacting,no-int
TCAL_03602,"Pink1 Serine/threonine-protein kinase PINK1, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_04183,PISD Phosphatidylserine decarboxylase proenzyme (Pongo abelii),not-interacting,no-int
TCAL_08216,"pitrm1 Presequence protease, mitochondrial (Xenopus laevis)",not-interacting,no-int
TCAL_10714,Plip Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (Drosophila melanogaster),not-interacting,no-int
TCAL_00342,PMPCA Mitochondrial-processing peptidase subunit alpha (Bos taurus),not-interacting,no-int
TCAL_11611,PMPCB Mitochondrial-processing peptidase subunit beta (Bos taurus),not-interacting,no-int
TCAL_08455,"PNPT1 Polyribonucleotide nucleotidyltransferase 1, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_13739,"PNPT1 Polyribonucleotide nucleotidyltransferase 1, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_12747,POLDIP2 Polymerase delta-interacting protein 2 (Homo sapiens),not-interacting,no-int
TCAL_04340,porin Voltage-dependent anion-selective channel (Drosophila melanogaster),not-interacting,no-int
TCAL_11779,"ppl Glycine cleavage system H protein, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_02871,"ppm1k Protein phosphatase 1K, mitochondrial (Xenopus laevis)",not-interacting,no-int
TCAL_04149,Ppme1 Protein phosphatase methylesterase 1 (Mus musculus),not-interacting,no-int
TCAL_00132,Ppox Protoporphyrinogen oxidase (Mus musculus),not-interacting,no-int
TCAL_02450,Ppp1cc Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (Rattus norvegicus),not-interacting,no-int
TCAL_04502,"PRDX3 Thioredoxin-dependent peroxide reductase, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_01049,Prdx4 Peroxiredoxin-4 (Mus musculus),not-interacting,no-int
TCAL_04298,"PRDX5 Peroxiredoxin-5, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_05522,"PRELID1 PRELI domain-containing protein 1, mitochondrial (Gallus gallus)",not-interacting,no-int
TCAL_11280,"PRELID1 PRELI domain-containing protein 1, mitochondrial (Gallus gallus)",not-interacting,no-int
TCAL_12880,PROSC Proline synthase co-transcribed bacterial homolog protein (Homo sapiens),not-interacting,no-int
TCAL_04881,psen2 Presenilin-2 (Danio rerio),not-interacting,no-int
TCAL_07477,"PTCD1 Pentatricopeptide repeat-containing protein 1, mitochondrial (Pongo abelii)",not-interacting,no-int
#N/A,Ptges2 Prostaglandin E synthase 2 (Mus musculus),not-interacting,no-int
TCAL_01460,"PYCR1 Pyrroline-5-carboxylate reductase 1, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_03251,"PYCR1 Pyrroline-5-carboxylate reductase 1, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_02224,QDPR Dihydropteridine reductase (Bos taurus),not-interacting,no-int
TCAL_05147,Rab35 Ras-related protein Rab-35 (Rattus norvegicus),not-interacting,no-int
TCAL_07957,RDH13 Retinol dehydrogenase 13 (Homo sapiens),not-interacting,no-int
TCAL_00843,Rdh13 Retinol dehydrogenase 13 (Mus musculus),not-interacting,no-int
TCAL_10111,"REXO2 Oligoribonuclease, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_04140,Rfk Riboflavin kinase (Mus musculus),not-interacting,no-int
TCAL_00050,Rmnd1 Required for meiotic nuclear division protein 1 homolog (Mus musculus),not-interacting,no-int
TCAL_13529,Rnaseh1 Ribonuclease H1 (Rattus norvegicus),not-interacting,no-int
TCAL_02460,"Roe1 GrpE protein homolog, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_09760,romo1 Reactive oxygen species modulator 1 (Xenopus tropicalis),not-interacting,no-int
TCAL_01417,RPUSD2 RNA pseudouridylate synthase domain-containing protein 2 (Homo sapiens),not-interacting,no-int
TCAL_04816,Rpusd4 RNA pseudouridylate synthase domain-containing protein 4 (Rattus norvegicus),not-interacting,no-int
TCAL_06359,"rtn4ip1 Reticulon-4-interacting protein 1 homolog, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_07823,"RTN4IP1 Reticulon-4-interacting protein 1, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_04535,"sad Cytochrome P450 315a1, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_06400,"sad Cytochrome P450 315a1, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_00986,Samm50 Sorting and assembly machinery component 50 homolog (Rattus norvegicus),not-interacting,no-int
TCAL_05842,SCCPDH Saccharopine dehydrogenase-like oxidoreductase (Homo sapiens),not-interacting,no-int
TCAL_06431,SCP2 Non-specific lipid-transfer protein (Oryctolagus cuniculus),not-interacting,no-int
TCAL_09253,"SHMT1 Serine hydroxymethyltransferase, cytosolic (Ovis aries)",not-interacting,no-int
TCAL_04503,"SHMT2 Serine hydroxymethyltransferase, mitochondrial (Oryctolagus cuniculus)",not-interacting,no-int
TCAL_05189,sirt2:_NAD-dependent_protein_deacetylase_sirtuin-2_(Danio_rerio),not-interacting,no-int
TCAL_08043,Sirt3 NAD-dependent protein deacetylase sirtuin-3 (Mus musculus),not-interacting,no-int
TCAL_00465,"sirt5 NAD-dependent protein deacylase sirtuin-5, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_02261,"SJCHGC01960 10 kDa heat shock protein, mitochondrial (Schistosoma japonicum)",not-interacting,no-int
TCAL_05721,"SLC25A1 Tricarboxylate transport protein, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_02511,SLC25A10 Mitochondrial dicarboxylate carrier (Homo sapiens),not-interacting,no-int
TCAL_07375,SLC25A11 Mitochondrial 2-oxoglutarate/malate carrier protein (Homo sapiens),not-interacting,no-int
TCAL_03814,SLC25A15 Mitochondrial ornithine transporter 1 (Homo sapiens),not-interacting,no-int
TCAL_04952,Slc25a15 Mitochondrial ornithine transporter 1 (Mus musculus),not-interacting,no-int
TCAL_02897,Slc25a16 Graves disease carrier protein homolog (Mus musculus),not-interacting,no-int
TCAL_00045,SLC25A19 Mitochondrial thiamine pyrophosphate carrier (Bos taurus),not-interacting,no-int
TCAL_08055,Slc25a20 Mitochondrial carnitine/acylcarnitine carrier protein (Mus musculus),not-interacting,no-int
TCAL_13127,Slc25a20 Mitochondrial carnitine/acylcarnitine carrier protein (Mus musculus),not-interacting,no-int
TCAL_12821,Slc25a21 Mitochondrial 2-oxodicarboxylate carrier (Rattus norvegicus),not-interacting,no-int
TCAL_07726,SLC25A22 Mitochondrial glutamate carrier 1 (Homo sapiens),not-interacting,no-int
TCAL_15172,slc25a24-b Calcium-binding mitochondrial carrier protein SCaMC-1-B (Xenopus laevis),not-interacting,no-int
TCAL_07966,SLC25A25 Calcium-binding mitochondrial carrier protein SCaMC-2 (Homo sapiens),not-interacting,no-int
TCAL_03629,Slc25a26 S-adenosylmethionine mitochondrial carrier protein (Mus musculus),not-interacting,no-int
TCAL_01875,SLC25A27 Mitochondrial uncoupling protein 4 (Homo sapiens),not-interacting,no-int
TCAL_12848,SLC25A29 Mitochondrial carnitine/acylcarnitine carrier protein CACL (Bos taurus),not-interacting,no-int
TCAL_00279,"Slc25a3 Phosphate carrier protein, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_01360,Slc25a32 Mitochondrial folate transporter/carrier (Mus musculus),not-interacting,no-int
TCAL_05380,Slc25a32 Mitochondrial folate transporter/carrier (Mus musculus),not-interacting,no-int
TCAL_02668,slc25a37 Mitoferrin-1 (Danio rerio),not-interacting,no-int
TCAL_06080,SLC25A4 ADP/ATP translocase 1 (Oryctolagus cuniculus),not-interacting,no-int
TCAL_03052,slc25a42 Mitochondrial coenzyme A transporter SLC25A42 (Xenopus laevis),not-interacting,no-int
TCAL_07651,"Slc8b1 Sodium/potassium/calcium exchanger 6, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_08307,slc9b2 Mitochondrial sodium/hydrogen exchanger 9B2 (Xenopus tropicalis),not-interacting,no-int
TCAL_09414,"slgA Proline dehydrogenase 1, mitochondrial (Drosophila melanogaster)",not-interacting,no-int
TCAL_03501,"Sod2 Superoxide dismutase [Mn], mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_05578,"SPAC4H3.07c Putative thiosulfate sulfurtransferase, mitochondrial (Schizosaccharomyces pombe (strain 972 / ATCC 24843))",not-interacting,no-int
TCAL_06152,"SPAC4H3.07c Putative thiosulfate sulfurtransferase, mitochondrial (Schizosaccharomyces pombe (strain 972 / ATCC 24843))",not-interacting,no-int
TCAL_00271,SPG7 Paraplegin (Homo sapiens),not-interacting,no-int
TCAL_11917,"SQOR Sulfide:quinone oxidoreductase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_11477,"STAR Steroidogenic acute regulatory protein, mitochondrial (Ovis aries)",not-interacting,no-int
TCAL_12158,STARD3 StAR-related lipid transfer protein 3 (Homo sapiens),not-interacting,no-int
TCAL_10131,"STARD7 StAR-related lipid transfer protein 7, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_11140,"STOML2 Stomatin-like protein 2, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_08021,"Sucla2 Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_06378,"Suclg1 Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_06968,"Suclg2 Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05566,SUGCT Succinate--hydroxymethylglutarate CoA-transferase (Homo sapiens),not-interacting,no-int
TCAL_00782,SURF1 Surfeit locus protein 1 (Homo sapiens),not-interacting,no-int
TCAL_03862,"T05H10.6 Probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (Caenorhabditis elegans)",not-interacting,no-int
TCAL_05673,tamm41 Mitochondrial translocator assembly and maintenance protein 41 homolog (Xenopus laevis),not-interacting,no-int
TCAL_05316,"TCAIM T-cell activation inhibitor, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_01762,"TDH L-threonine 3-dehydrogenase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_13017,Tim10 Mitochondrial import inner membrane translocase subunit Tim10 (Drosophila melanogaster),not-interacting,no-int
TCAL_04068,Tim13 Mitochondrial import inner membrane translocase subunit Tim13 (Drosophila melanogaster),not-interacting,no-int
TCAL_00463,Tim14 Mitochondrial import inner membrane translocase subunit TIM14 (Drosophila melanogaster),not-interacting,no-int
TCAL_13330,Tim14 Mitochondrial import inner membrane translocase subunit TIM14 (Drosophila melanogaster),not-interacting,no-int
TCAL_12750,Timm17b Mitochondrial import inner membrane translocase subunit Tim17-B (Mus musculus),not-interacting,no-int
TCAL_13304,timm21 Mitochondrial import inner membrane translocase subunit Tim21 (Xenopus laevis),not-interacting,no-int
TCAL_09993,timm23 Mitochondrial import inner membrane translocase subunit Tim23 (Danio rerio),not-interacting,no-int
TCAL_09248,Timm44 Mitochondrial import inner membrane translocase subunit TIM44 (Mus musculus),not-interacting,no-int
TCAL_11683,timm8a Mitochondrial import inner membrane translocase subunit Tim8 A (Danio rerio),not-interacting,no-int
TCAL_00422,tin-9.1 Mitochondrial import inner membrane translocase subunit Tim9 (Caenorhabditis briggsae),not-interacting,no-int
TCAL_12764,TMEM65 Transmembrane protein 65 (Bos taurus),not-interacting,no-int
TCAL_01802,"TMLHE Trimethyllysine dioxygenase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_01662,Tom40 Mitochondrial import receptor subunit TOM40 homolog 1 (Drosophila melanogaster),not-interacting,no-int
TCAL_08123,tomm20 Mitochondrial import receptor subunit TOM20 homolog (Xenopus tropicalis),not-interacting,no-int
TCAL_00648,Tomm22 Mitochondrial import receptor subunit TOM22 homolog (Mus musculus),not-interacting,no-int
TCAL_12222,TOMM70A Mitochondrial import receptor subunit TOM70 (Homo sapiens),not-interacting,no-int
TCAL_01757,"Trap1 Heat shock protein 75 kDa, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_08696,Trmt1 tRNA (guanine(26)-N(2))-dimethyltransferase (Mus musculus),not-interacting,no-int
TCAL_07517,trmt10c Mitochondrial ribonuclease P protein 1 homolog (Drosophila melanogaster),not-interacting,no-int
TCAL_02259,"Trnt1 CCA tRNA nucleotidyltransferase 1, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05761,"ttc19 Tetratricopeptide repeat protein 19, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_08584,ttm50 Mitochondrial import inner membrane translocase subunit TIM50-C (Drosophila melanogaster),not-interacting,no-int
TCAL_00665,Tusc3 Tumor suppressor candidate 3 (Mus musculus),not-interacting,no-int
TCAL_00512,"TXN2 Thioredoxin, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_12392,UBA1 Ubiquitin-like modifier-activating enzyme 1 (Oryctolagus cuniculus),not-interacting,no-int
TCAL_05707,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial (Bombyx mori)",not-interacting,no-int
TCAL_03322,UCP2 Mitochondrial uncoupling protein 2 (Sus scrofa),not-interacting,no-int
TCAL_03111,"Uncharacterized protein C2orf47 homolog, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_11079,"v1g172254 L-2-hydroxyglutarate dehydrogenase, mitochondrial (Nematostella vectensis)",not-interacting,no-int
TCAL_09289,Xpnpep3 Probable Xaa-Pro aminopeptidase 3 (Rattus norvegicus),not-interacting,no-int
TCAL_13064,ymel-1 ATP-dependent zinc metalloprotease YME1 homolog (Caenorhabditis elegans),not-interacting,no-int
TCAL_01724,"sdha Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (Danio rerio)",not-interacting,OXPHOS Comp-II
TCAL_08938,"SdhB Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Drosophila melanogaster)",not-interacting,OXPHOS Comp-II
TCAL_04388,"SDHC Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Cricetulus griseus)",not-interacting,OXPHOS Comp-II
TCAL_11561,"SdhD Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (Drosophila melanogaster)",not-interacting,OXPHOS Comp-II
TCAL_06889,"MRPL58 Peptidyl-tRNA hydrolase ICT1, mitochondrial (Bos taurus)",not-interacting,translation factor
